MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://,,,,,,,,,,,49-94-1935,"49-94-1935 Milwaukee 12""x1/8""x1"" Masonry Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,Milwaukee,49-94-1935,,Power Tools & Accessories>Abrasives>Cut-Off Wheels,"Milwaukee Accessory Milwaukee, Cut Off Disc, 49-94-1935, 12 in, 1/8 in, 1 in",CUT OFF DISC 12IN 1/8IN 1IN,Milwaukee 49-94-1935 Cut Off Disc,"Milwaukee Cut Off Disc, 12 in Diameter, 1/8 in Thickness, 1 in Arbor","Cut Off Disc, 12 in, 1/8 in, 1 in","Cut Off Disc, 12 in, 1/8 in, 1 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Diameter,12,in,Thickness,1/8,in,Arbor,1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,49-94-1940,"49-94-1940 Milwaukee 14""x1/8""x1"" Masonry Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,Milwaukee,49-94-1940,,Power Tools & Accessories>Abrasives>Cut-Off Wheels,"Milwaukee Accessory Milwaukee, Cut Off Disc, 49-94-1940, 14 in, 1/8 in, 1 in",CUT OFF DISC 14IN 1/8IN 1IN,Milwaukee 49-94-1940 Cut Off Disc,"Milwaukee Cut Off Disc, 14 in Diameter, 1/8 in Thickness, 1 in Arbor","Cut Off Disc, 14 in, 1/8 in, 1 in","Cut Off Disc, 14 in, 1/8 in, 1 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Diameter,14,in,Thickness,1/8,in,Arbor,1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,49-94-0501,"49-94-0501 Milwaukee 4""x1/4""x5/8"" Metal Grinding Wheel",,,,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,Milwaukee,49-94-0501,,Power Tools & Accessories>Abrasives>Grinding Wheels,"Milwaukee Accessory Milwaukee, Grinding Wheel, 49-94-0501, 4 in, 1/4 in, 5/8 in",GRINDING WHEEL 4IN 1/4IN 5/8IN,Milwaukee 49-94-0501 Grinding Wheel,"Milwaukee Grinding Wheel, 4 in Diameter, 1/4 in Thickness, 5/8 in Arbor","Grinding Wheel, 4 in, 1/4 in, 5/8 in","Grinding Wheel, 4 in, 1/4 in, 5/8 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Diameter,4,in,Thickness,1/4,in,Arbor,5/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,49-94-0503,"49-94-0503 Milwaukee 4-1/2""x1/4""x7/8"" Metal Grinding Wheel",,,,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,Milwaukee,49-94-0503,,Power Tools & Accessories>Abrasives>Grinding Wheels,"Milwaukee Accessory Milwaukee, Grinding Wheel, 49-94-0503, 4-1/2 in, 1/4 in, 7/8 in",GRINDING WHEEL 4-1/2IN 1/4IN 7/8IN,Milwaukee 49-94-0503 Grinding Wheel,"Milwaukee Grinding Wheel, 4-1/2 in Diameter, 1/4 in Thickness, 7/8 in Arbor","Grinding Wheel, 4-1/2 in, 1/4 in, 7/8 in","Grinding Wheel, 4-1/2 in, 1/4 in, 7/8 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Diameter,4-1/2,in,Thickness,1/4,in,Arbor,7/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,49-94-0523,"49-94-0523 Milwaukee 6""x1/4""x7/8"" Metal Grinding Wheel",,,,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,Milwaukee,49-94-0523,,Power Tools & Accessories>Abrasives>Grinding Wheels,"Milwaukee Accessory Milwaukee, Grinding Wheel, 49-94-0523, 6 in, 1/4 in, 7/8 in",GRINDING WHEEL 6IN 1/4IN 7/8IN,Milwaukee 49-94-0523 Grinding Wheel,"Milwaukee Grinding Wheel, 6 in Diameter, 1/4 in Thickness, 7/8 in Arbor","Grinding Wheel, 6 in, 1/4 in, 7/8 in","Grinding Wheel, 6 in, 1/4 in, 7/8 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Diameter,6,in,Thickness,1/4,in,Arbor,7/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,49-94-1955,"49-94-1955 Milwaukee 4-1/2""x1/4""x7/8"" Masonry Grinding Wheel",,,,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,Milwaukee,49-94-1955,,Power Tools & Accessories>Abrasives>Grinding Wheels,"Milwaukee Accessory Milwaukee, Grinding Wheel, 49-94-1955, 4-1/2 in, 1/4 in, 7/8 in",GRINDING WHEEL 4-1/2IN 1/4IN 7/8IN,Milwaukee 49-94-1955 Grinding Wheel,"Milwaukee Grinding Wheel, 4-1/2 in Diameter, 1/4 in Thickness, 7/8 in Arbor","Grinding Wheel, 4-1/2 in, 1/4 in, 7/8 in","Grinding Wheel, 4-1/2 in, 1/4 in, 7/8 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Diameter,4-1/2,in,Thickness,1/4,in,Arbor,7/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://phillips.com,,,,,,,,,,,586479,586479 90W LED Med Multi CCT,,,Philips,Phillips Lighting (5831),Phillips Lighting,Philips,,586479,,Lighting & Electrical>Light Bulbs>LED Bulbs,"Phillips Lighting Philips, LED Bulb, 586479, 90 W, Med, Multi CCT",LED BULB 90W MED MULTICCT,Philips 586479 LED Bulb,"Philips LED Bulb, 90 W Wattage, Med, Multi CCT","LED Bulb, 90 W, Med, Multi CCT","LED Bulb, 90 W, Med, Multi CCT",,,,,,,,,,,,,,,,,,,,,,,,,,,Wattage,90,W,Base Type,Med,,Color Temperature,Multi CCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39101628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://phillips.com,,,,,,,,,,,586917,586917 40W LED Cand 27K 2pk,,,Philips,Phillips Lighting (5831),Phillips Lighting,Philips,,586917,,Lighting & Fans>Light Bulbs>LED Bulbs,"Phillips Lighting Philips, LED Bulb, 586917, 40 W",LED BULB 40W,Philips 586917 LED Bulb,"Philips LED Bulb, 40 W Wattage, Additional Information: Cand 27K","LED Bulb, 40 W","LED Bulb, 40 W",,,,,,,,,,,,,,,,,,,,,,,,,2pk,,Wattage,40,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39101628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://square.com,,,,,,,,,,,HOM2040M200PRB,HOM2040M200PRB 200A Load Cntr,,,,Square D Con Prod Dv (6825),Square D Con Prod Dv,Square D,Square D,HOM2040M200PRB,,Electrical>Circuit Protection>Load Centers,"Square D Con Prod Dv Square D, Load Center, HOM, HOM2040M200PRB",LOAD CENTER 200A,Square D HOM HOM2040M200PRB Load Center,"Square D Load Center, HOM, 200 A Amperage Rating, Additional Information: HOM2040M200PRB",HOM Load Center,HOM Load Center,,,,,,,,,,,,,,,,,,,,,,,,,,,Amperage Rating,200,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39121101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://square.com,,,,,,,,,,,QO612L100RBCP,QO612L100RBCP 100A Load Center,,,Square D,Square D Con Prod Dv (6825),Square D Con Prod Dv,Square D,Square D,QO612L100RBCP,,Electrical>Power Distribution>Load Centers,"Square D Con Prod Dv Square D, Load Center, QO, QO612L100RBCP",LOAD CENTER 100A,Square D QO QO612L100RBCP Load Center,"Square D Load Center, QO, 100 A Amperage Rating, Additional Information: QO612L100RBCP",QO Load Center,QO Load Center,,,,,,,,,,,,,,,,,,,,,,,,,,,Amperage Rating,100,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39121101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://leviton.com,,,,,,,,,,,R00-GFNT1-00K,R00GFNT100K 15A Outlet Br,,,Leviton,Leviton Mfg Co (4927),Leviton Mfg Co,Leviton,Leviton,R00-GFNT1-00K,,Electrical>Wiring Devices>Electrical Receptacles,"Leviton Mfg Co Leviton, Outlet, R00-GFNT1-00K, 15 A",OUTLET 15A,Leviton R00-GFNT1-00K Outlet,"Leviton Outlet, 15 A Amperage Rating, Additional Information: R00GFNT100K",Outlet,Outlet,,,,,,,,,,,,,,,,,,,,,,,,,,,Amperage Rating,15,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39121406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://makita.com,,,,,,,,,,,XRU23SM1,"XRU23SM1 Makita 18V 13"" - String Trimmer Kit",,,,Makita Usa Inc (5142),Makita Usa Inc,Makita,Makita,XRU23SM1,,Lawn & Garden>Outdoor Power Equipment>String Trimmers,"Makita Usa Inc Makita, String Trimmer Kit, XRU23SM1, 18 V, 13 in",STRING TRIMMER KIT 18V 13IN,Makita XRU23SM1 String Trimmer Kit,"Makita String Trimmer Kit, 18 V Voltage Rating, 13 in Cutting Width","String Trimmer Kit, 13 in","String Trimmer Kit, 13 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Voltage Rating,18,V,Cutting Width,13,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21101700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://black.com,,,,,,,,,,,DCBL724B,DCBL724B Dewalt 20V Max XR Blower (Bare),,,,Black & Decker/dewlt (2585),Black & Decker/dewlt,Dewalt,Dewalt,DCBL724B,,Lawn & Garden>Outdoor Power Equipment>Leaf Blowers,"Black & Decker/dewlt Dewalt, Blower, XR, DCBL724B, 20 V",BLOWER 20V,Dewalt XR DCBL724B Blower,"Dewalt Blower, XR, 20 V Voltage Rating",XR Blower,XR Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltage Rating,20,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21101700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mirka.com,,,,,,,,,,,9A-219-180,9A-219-180 Abranet 4x6x6,,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka,Mirka,9A-219-180,,Tools & Equipment>Abrasives>Sanding Sheets,"Mirka Abrasives Inc Mirka, Sanding Sheet, Abranet, 9A-219-180",SANDING SHEET 9A,Mirka Abranet 9A-219-180 Sanding Sheet,"Mirka Sanding Sheet, Abranet, 9 A Amperage Rating",Abranet Sanding Sheet,Abranet Sanding Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,Amperage Rating,9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mirka.com,,,,,,,,,,,9A-219-120RP,9A-219-120RP Abranet 4x6x6,,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka,Mirka,9A-219-120RP,,Tools & Equipment>Abrasives>Sanding Sheets,"Mirka Abrasives Inc Mirka, Sanding Sheet, Abranet, 9A-219-120RP",SANDING SHEET 9A,Mirka Abranet 9A-219-120RP Sanding Sheet,"Mirka Sanding Sheet, Abranet, 9 A Amperage Rating",Abranet Sanding Sheet,Abranet Sanding Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,Amperage Rating,9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://black.com,,,,,,,,,,,DCF860B,DCF860B Dewalt 20V Impact - Driver Drill,,,,Black & Decker/dewlt (2585),Black & Decker/dewlt,Dewalt,Dewalt,DCF860B,,Tools & Equipment>Power Tools>Cordless Drills & Drivers,"Black & Decker/dewlt Dewalt, Impact Drill, DCF860B, 20 V",IMPACT DRILL 20V,Dewalt DCF860B Impact Drill,"Dewalt Impact Drill, 20 V Voltage Rating",Impact Drill,Impact Drill,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltage Rating,20,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27112703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://black.com,,,,,,,,,,,DCD1007B,"DCD1007B Dewalt 20V Cordless - 1/2"" Hammer Drill (Bare)",,,DEWALT,Black & Decker/dewlt (2585),Black & Decker/dewlt,Dewalt,Dewalt,DCD1007B,,Tools & Equipment>Power Tools>Hammer Drills,"Black & Decker/dewlt Dewalt, Hammer Drill, DCD1007B, 20 V, 1/2 in",HAMMER DRILL 20V 1/2IN,Dewalt DCD1007B Hammer Drill,"Dewalt Hammer Drill, 20 V Voltage Rating, 1/2 in Chuck Size","Hammer Drill, 1/2 in","Hammer Drill, 1/2 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Voltage Rating,20,V,Chuck Size,1/2,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27112705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://black.com,,,,,,,,,,,DCN930B,DCN930B Dewalt 20V 30 Degree - Framing Nailer,,,DEWALT,Black & Decker/dewlt (2585),Black & Decker/dewlt,Dewalt,Dewalt,DCN930B,,Tools & Equipment>Power Tools>Pneumatic & Cordless Nailers,"Black & Decker/dewlt Dewalt, Framing Nailer, DCN930B, 20 V, 30 deg",FRAMING NAILER 20V 30DEG,Dewalt DCN930B Framing Nailer,"Dewalt Framing Nailer, 20 V Voltage Rating, 30 deg Collation Angle","Framing Nailer, 30 deg","Framing Nailer, 30 deg",,,,,,,,,,,,,,,,,,,,,,,,,,,Voltage Rating,20,V,Collation Angle,30,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27111902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://makita.com,,,,,,,,,,,XVP01Z,"XVP01Z Makita 18V 3"" Polisher/ 2"" Sander",,,,Makita Usa Inc (5142),Makita Usa Inc,Makita,Makita,XVP01Z,,Tools & Equipment>Power Tools>Polishers & Sanders,"Makita Usa Inc Makita, polisher/sander, XVP01Z, 3 in, 2 in, 18 V",POLISHER/SANDER 3IN 2IN 18V 2IN,Makita XVP01Z polisher/sander,"Makita polisher/sander, 3 in Diameter, 2 in Sander Capacity, 18 V Voltage Rating, 2 in Arbor","polisher/sander, 3 in, 2 in","polisher/sander, 3 in, 2 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Diameter,3,in,Sander Capacity,2,in,Voltage Rating,18,V,Arbor,2,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27112720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://black.com,,,,,,,,,,,DCG460B,"DCG460B Dewalt 60V Grinder - 7-9""",,,DEWALT,Black & Decker/dewlt (2585),Black & Decker/dewlt,Dewalt,Dewalt,DCG460B,,Tools & Equipment>Power Tools>Angle Grinders,"Black & Decker/dewlt Dewalt, grinder, DCG460B, 60 V, 7-9 in",GRINDER 60V 7-9IN,Dewalt DCG460B grinder,"Dewalt grinder, 60 V Voltage Rating, 7-9 in Diameter","grinder, 7-9 in","grinder, 7-9 in",,,,,,,,,,,,,,,,,,,,,,,,,,,Voltage Rating,60,V,Diameter,7-9,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27112705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
